"","revista","categoria","ano","ISSN"
"24171","ECONOMY OF REGION","A2",2022,"2072-6406"
"24172","ECONOMY OF REGION","A2",2022,"
2072-6414"
"24173","MICROMACHINES","A2",2022,"2072-666X"
"24174","NOVYJ ISTORICESKIJ VESTNIK","A2",2022,"2072-9286"
"24175","COMPUTERS","A2",2022,"2073-431X"
"24176","CATALYSTS","A2",2022,"2073-4344"
"24177","CRYSTALS","A2",2022,"2073-4352"
"24178","GENES","A2",2022,"2073-4425"
"24179","ATMOSPHERE","A2",2022,"2073-4433"
"24180","LAND","A2",2022,"2073-445X"
"24181","DIALOG SO VREMENEM","A2",2022,"2073-7564"
"24182","KNOWLEDGE MANAGEMENT AND E LEARNING","A2",2022,"2073-7904"
"24183","SYMMETRY BASEL","A2",2022,"2073-8994"
"24184","GYROSCOPY AND NAVIGATION","A2",2022,"2075-1087"
"24185","GYROSCOPY AND NAVIGATION","A2",2022,"
2075-1109"
"24186","INORGANIC MATERIALS APPLIED RESEARCH","A2",2022,"2075-1133"
"24187","INORGANIC MATERIALS APPLIED RESEARCH","A2",2022,"
2075-115X"
"24188","MINERALS","A2",2022,"2075-163X"
"24189","MACHINES","A2",2022,"2075-1702"
"24190","DIAGNOSTICS","A2",2022,"2075-4418"
"24191","GALAXIES","A2",2022,"2075-4434"
"24192","LUBRICANTS","A2",2022,"2075-4442"
"24193","SENTENTIAE","A2",2022,"2075-6461"
"24194","SENTENTIAE","A2",2022,"
2308-8915"
"24195","CARPATHIAN MATHEMATICAL PUBLICATIONS","A2",2022,"2075-9827"
"24196","CARPATHIAN MATHEMATICAL PUBLICATIONS","A2",2022,"
2313-0210"
"24197","SOCIAL SCIENCES","A2",2022,"2076-0760"
"24198","PATHOGENS","A2",2022,"2076-0817"
"24199","ACTUATORS","A2",2022,"2076-0825"
"24200","MICROORGANISMS","A2",2022,"2076-2607"
"24201","GEOSCIENCES","A2",2022,"2076-3263"
"24202","BEHAVIORAL SCIENCES","A2",2022,"2076-328X"
"24203","ENVIRONMENTS MDPI","A2",2022,"2076-3298"
"24204","APPLIED SCIENCES BASEL","A2",2022,"2076-3417"
"24205","LED I SNEG","A2",2022,"2076-6734"
"24206","LED I SNEG","A2",2022,"
2412-3765"
"24207","JOURNAL OF MARINE SCIENCE AND ENGINEERING","A2",2022,"2077-1312"
"24208","JOURNAL OF ECONOMICS FINANCE AND ADMINISTRATIVE SCIENCE","A2",2022,"2077-1886"
"24209","JOURNAL OF ECONOMICS FINANCE AND ADMINISTRATIVE SCIENCE","A2",2022,"
2218-0648"
"24210","JOURNAL OF GASTROINTESTINAL ONCOLOGY","A2",2022,"2078-6891"
"24211","JOURNAL OF GASTROINTESTINAL ONCOLOGY","A2",2022,"
2219-679X"
"24212","COMPUTATION","A2",2022,"2079-3197"
"24213","COATINGS","A2",2022,"2079-6412"
"24214","FIBERS","A2",2022,"2079-6439"
"24215","EAST ASIAN JOURNAL ON APPLIED MATHEMATICS","A2",2022,"2079-7362"
"24216","EAST ASIAN JOURNAL ON APPLIED MATHEMATICS","A2",2022,"
2079-7370"
"24217","RESOURCES","A2",2022,"2079-9276"
"24218","COSMETICS","A2",2022,"2079-9284"
"24219","ELECTRONICS","A2",2022,"2079-9292"
"24220","REGIONAL RESEARCH OF RUSSIA","A2",2022,"2079-9705"
"24221","REGIONAL RESEARCH OF RUSSIA","A2",2022,"
2079-9713"
"24222","MANAGEMENT AND PRODUCTION ENGINEERING REVIEW","A2",2022,"2080-8208"
"24223","MANAGEMENT AND PRODUCTION ENGINEERING REVIEW","A2",2022,"
2082-1344"
"24224","PALADYN","A2",2022,"2081-4836"
"24225","STUDIA CERANEA","A2",2022,"2084-140X"
"24226","STUDIA CERANEA","A2",2022,"
2449-8378"
"24227","NOISE MAPPING","A2",2022,"2084-879X"
"24228","INTERNATIONAL JOURNAL ON ELECTRICAL ENGINEERING AND INFORMATICS","A2",2022,"2085-6830"
"24229","INTERNATIONAL JOURNAL ON ELECTRICAL ENGINEERING AND INFORMATICS","A2",2022,"
2087-5886"
"24230","INTERNATIONAL JOURNAL OF TECHNOLOGY","A2",2022,"2086-9614"
"24231","JOURNAL ON MATHEMATICS EDUCATION","A2",2022,"2087-8885"
"24232","JOURNAL ON MATHEMATICS EDUCATION","A2",2022,"
2407-0610"
"24233","INTERNATIONAL JOURNAL OF POWER ELECTRONICS AND DRIVE SYSTEMS","A2",2022,"2088-8694"
"24234","INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING","A2",2022,"2088-8708"
"24235","JURNAL PENDIDIKAN IPA INDONESIA","A2",2022,"2089-4392"
"24236","JURNAL PENDIDIKAN IPA INDONESIA","A2",2022,"
2339-1286"
"24237","IAES INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE","A2",2022,"2089-4872"
"24238","IAES INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE","A2",2022,"
2252-8938"
"24239","JOURNAL OF OPHTHALMOLOGY","A2",2022,"2090-004X"
"24240","JOURNAL OF OPHTHALMOLOGY","A2",2022,"
2090-0058"
"24241","JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING","A2",2022,"2090-0147"
"24242","JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING","A2",2022,"
2090-0155"
"24243","INTERNATIONAL JOURNAL OF HYPERTENSION","A2",2022,"2090-0384"
"24244","INTERNATIONAL JOURNAL OF HYPERTENSION","A2",2022,"
2090-0392"
"24245","AUTOIMMUNE DISEASES","A2",2022,"2090-0422"
"24246","AUTOIMMUNE DISEASES","A2",2022,"
2090-0430"
"24247","JOURNAL OF OBESITY","A2",2022,"2090-0708"
"24248","JOURNAL OF OBESITY","A2",2022,"
2090-0716"
"24249","AIDS RESEARCH AND TREATMENT","A2",2022,"2090-1240"
"24250","AIDS RESEARCH AND TREATMENT","A2",2022,"
2090-1259"
"24251","ANEMIA","A2",2022,"2090-1267"
"24252","ANEMIA","A2",2022,"
2090-1275"
"24253","CRITICAL CARE RESEARCH AND PRACTICE","A2",2022,"2090-1305"
"24254","CRITICAL CARE RESEARCH AND PRACTICE","A2",2022,"
2090-1313"
"24255","DEPRESSION RESEARCH AND TREATMENT","A2",2022,"2090-1321"
"24256","DEPRESSION RESEARCH AND TREATMENT","A2",2022,"
2090-133X"
"24257","MINIMALLY INVASIVE SURGERY","A2",2022,"2090-1445"
"24258","MINIMALLY INVASIVE SURGERY","A2",2022,"
2090-1453"
"24259","PAIN RESEARCH AND TREATMENT","A2",2022,"2090-1542"
"24260","PAIN RESEARCH AND TREATMENT","A2",2022,"
2090-1550"
"24261","JOURNAL OF COMBUSTION","A2",2022,"2090-1968"
"24262","JOURNAL OF COMBUSTION","A2",2022,"
2090-1976"
"24263","INTERNATIONAL JOURNAL OF NEPHROLOGY","A2",2022,"2090-214X"
"24264","INTERNATIONAL JOURNAL OF NEPHROLOGY","A2",2022,"
2090-2158"
"24265","JOURNAL OF PREGNANCY","A2",2022,"2090-2727"
"24266","JOURNAL OF PREGNANCY","A2",2022,"
2090-2735"
"24267","ADVANCES IN ORTHOPEDICS","A2",2022,"2090-3464"
"24268","ADVANCES IN ORTHOPEDICS","A2",2022,"
2090-3472"
"24269","CHILD DEVELOPMENT RESEARCH","A2",2022,"2090-3987"
"24270","CHILD DEVELOPMENT RESEARCH","A2",2022,"
2090-3995"
"24271","AIN SHAMS ENGINEERING JOURNAL","A2",2022,"2090-4479"
"24272","AIN SHAMS ENGINEERING JOURNAL","A2",2022,"
2090-4495"
"24273","EGYPTIAN JOURNAL OF FORENSIC SCIENCES","A2",2022,"2090-536X"
"24274","EGYPTIAN JOURNAL OF FORENSIC SCIENCES","A2",2022,"
2090-5939"
"24275","ARAB JOURNAL OF UROLOGY","A2",2022,"2090-598X"
"24276","ARAB JOURNAL OF UROLOGY","A2",2022,"
2090-5998"
"24277","JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS","A2",2022,"2090-7141"
"24278","JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS","A2",2022,"
2090-715X"
"24279","JOURNAL OF ANALYTICAL METHODS IN CHEMISTRY","A2",2022,"2090-8865"
"24280","JOURNAL OF ANALYTICAL METHODS IN CHEMISTRY","A2",2022,"
2090-8873"
"24281","JOURNAL OF CHEMISTRY","A2",2022,"2090-9063"
"24282","JOURNAL OF CHEMISTRY","A2",2022,"
2090-9071"
"24283","SCIENTIFICA","A2",2022,"2090-908X"
"24284","INFORMATION SCIENCES LETTERS","A2",2022,"2090-9551"
"24285","INFORMATION SCIENCES LETTERS","A2",2022,"
2090-956X"
"24286","INFECTION AND CHEMOTHERAPY","A2",2022,"2092-6448"
"24287","INFECTION AND CHEMOTHERAPY","A2",2022,"
2093-2340"
"24288","EARTHQUAKES AND STRUCTURES","A2",2022,"2092-7614"
"24289","EARTHQUAKES AND STRUCTURES","A2",2022,"
2092-7622"
"24290","INTERNATIONAL JOURNAL OF GEO ENGINEERING","A2",2022,"2092-9196"
"24291","INTERNATIONAL JOURNAL OF GEO ENGINEERING","A2",2022,"
2198-2783"
"24292","JOURNAL OF PERIODONTAL AND IMPLANT SCIENCE","A2",2022,"2093-2278"
"24293","JOURNAL OF PERIODONTAL AND IMPLANT SCIENCE","A2",2022,"
2093-2286"
"24294","JOURNAL OF ANALYTICAL SCIENCE AND TECHNOLOGY","A2",2022,"2093-3134"
"24295","JOURNAL OF ANALYTICAL SCIENCE AND TECHNOLOGY","A2",2022,"
2093-3371"
"24296","ANATOMY AND CELL BIOLOGY","A2",2022,"2093-3665"
"24297","ANATOMY AND CELL BIOLOGY","A2",2022,"
2093-3673"
"24298","HEALTHCARE INFORMATICS RESEARCH","A2",2022,"2093-3681"
"24299","HEALTHCARE INFORMATICS RESEARCH","A2",2022,"
2093-369X"
"24300","INTERNATIONAL NEUROUROLOGY JOURNAL","A2",2022,"2093-4777"
"24301","INTERNATIONAL NEUROUROLOGY JOURNAL","A2",2022,"
2093-6931"
"24302","JOURNAL OF WIRELESS MOBILE NETWORKS UBIQUITOUS COMPUTING AND
DEPENDABLE APPLICATIONS","A2",2022,"2093-5374"
"24303","JOURNAL OF WIRELESS MOBILE NETWORKS UBIQUITOUS COMPUTING AND
DEPENDABLE APPLICATIONS","A2",2022,"
2093-5382"
"24304","ENDOCRINOLOGY AND METABOLISM","A2",2022,"2093-596X"
"24305","ENDOCRINOLOGY AND METABOLISM","A2",2022,"
2093-5978"
"24306","OCEAN SYSTEMS ENGINEERING","A2",2022,"2093-6702"
"24307","OCEAN SYSTEMS ENGINEERING","A2",2022,"
2093-677X"
"24308","JOURNAL OF PHARMACOPUNCTURE","A2",2022,"2093-6966"
"24309","JOURNAL OF PHARMACOPUNCTURE","A2",2022,"
2234-6856"
"24310","BIOMEDICAL ENGINEERING LETTERS","A2",2022,"2093-985X"
"24311","BIOMEDICAL ENGINEERING LETTERS","A2",2022,"
2093-9868"
"24312","FRONTIERS OF EARTH SCIENCE","A2",2022,"2095-0195"
"24313","FRONTIERS OF EARTH SCIENCE","A2",2022,"
2095-0209"
"24314","FRONTIERS OF MATERIALS SCIENCE","A2",2022,"2095-025X"
"24315","FRONTIERS OF MATERIALS SCIENCE","A2",2022,"
2095-0268"
"24316","JOURNAL OF MODERN TRANSPORTATION","A2",2022,"2095-087X"
"24317","JOURNAL OF MODERN TRANSPORTATION","A2",2022,"
2196-0577"
"24318","FRONTIERS IN ENERGY","A2",2022,"2095-1698"
"24319","FRONTIERS IN ENERGY","A2",2022,"
2095-1701"
"24320","FRONTIERS OF COMPUTER SCIENCE","A2",2022,"2095-2228"
"24321","FRONTIERS OF COMPUTER SCIENCE","A2",2022,"
2095-2236"
"24322","FRONTIERS OF OPTOELECTRONICS","A2",2022,"2095-2759"
"24323","FRONTIERS OF OPTOELECTRONICS","A2",2022,"
2095-2767"
"24324","JOURNAL OF CENTRAL SOUTH UNIVERSITY","A2",2022,"2095-2899"
"24325","JOURNAL OF CENTRAL SOUTH UNIVERSITY","A2",2022,"
2227-5223"
"24326","QUANTITATIVE BIOLOGY","A2",2022,"2095-4689"
"24327","QUANTITATIVE BIOLOGY","A2",2022,"
2095-4697"
"24328","ECONOMIC AND POLITICAL STUDIES","A2",2022,"2095-4816"
"24329","ECONOMIC AND POLITICAL STUDIES","A2",2022,"
2470-4024"
"24330","CONTROL THEORY AND TECHNOLOGY","A2",2022,"2095-6983"
"24331","CONTROL THEORY AND TECHNOLOGY","A2",2022,"
2198-0942"
"24332","FRONTIERS OF AGRICULTURAL SCIENCE AND ENGINEERING","A2",2022,"2095-7505"
"24333","FRONTIERS OF AGRICULTURAL SCIENCE AND ENGINEERING","A2",2022,"
2095-977X"
"24334","JOURNAL OF TRAFFIC AND TRANSPORTATION ENGINEERING","A2",2022,"2095-7564"
"24335","FRONTIERS OF INFORMATION TECHNOLOGY ELECTRONIC ENGINEERING","A2",2022,"2095-9184"
"24336","FRONTIERS OF INFORMATION TECHNOLOGY ELECTRONIC ENGINEERING","A2",2022,"
2095-9230"
"24337","AQUACULTURE AND FISHERIES","A2",2022,"2096-1758"
"24338","AQUACULTURE AND FISHERIES","A2",2022,"
2468-550X"
"24339","JOURNAL OF ANALYSIS AND TESTING","A2",2022,"2096-241X"
"24340","JOURNAL OF ANALYSIS AND TESTING","A2",2022,"
2509-4696"
"24341","INTERNATIONAL JOURNAL OF INNOVATION STUDIES","A2",2022,"2096-2487"
"24342","INTERNATIONAL JOURNAL OF INNOVATION STUDIES","A2",2022,"
2589-2975"
"24343","PETROLEUM RESEARCH","A2",2022,"2096-2495"
"24344","PETROLEUM RESEARCH","A2",2022,"
2524-1729"
"24345","PLANT DIVERSITY","A2",2022,"2096-2703"
"24346","PLANT DIVERSITY","A2",2022,"
2468-2659"
"24347","CYBERSECURITY","A2",2022,"2096-4862"
"24348","CYBERSECURITY","A2",2022,"
2523-3246"
"24349","EPJ PHOTOVOLTAICS","A2",2022,"2105-0716"
"24350","JOURNAL OF SPACE WEATHER AND SPACE CLIMATE","A2",2022,"2115-7251"
"24351","EUROPEAN JOURNAL OF TAXONOMY","A2",2022,"2118-9773"
"24352","INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY","A2",2022,"2146-4553"
"24353","ALL AZIMUTH","A2",2022,"2146-7757"
"24354","INTERNATIONAL JOURNAL OF EDUCATION IN MATHEMATICS SCIENCE AND
TECHNOLOGY","A2",2022,"2147-611X"
"24355","JOURNAL OF NARRATIVE AND LANGUAGE STUDIES","A2",2022,"2148-4066"
"24356","EURASIAN JOURNAL OF APPLIED LINGUISTICS","A2",2022,"2149-1135"
"24357","TURK OFTALMOLOIJI DERGISI","A2",2022,"2149-8695"
"24358","EDGAR ALLAN POE REVIEW","A2",2022,"2150-0428"
"24359","EDGAR ALLAN POE REVIEW","A2",2022,"
2166-2932"
"24360","MYCOLOGY","A2",2022,"2150-1203"
"24361","MYCOLOGY","A2",2022,"
2150-1211"
"24362","WORLD JOURNAL FOR PEDIATRIC AMP CONGENITAL HEART SURGERY","A2",2022,"2150-1351"
"24363","WORLD JOURNAL FOR PEDIATRIC AMP CONGENITAL HEART SURGERY","A2",2022,"
2150-136X"
"24364","INTERNATIONAL JOURNAL OF ENERGY FOR A CLEAN ENVIRONMENT","A2",2022,"2150-3621"
"24365","INTERNATIONAL JOURNAL OF ENERGY FOR A CLEAN ENVIRONMENT","A2",2022,"
2150-363X"
"24366","TRANSACTIONS OF THE ASABE","A2",2022,"2151-0032"
"24367","TRANSACTIONS OF THE ASABE","A2",2022,"
2151-0040"
"24368","REVIEW OF MIDDLE EAST STUDIES","A2",2022,"2151-3481"
"24369","SPECIAL TOPICS AND REVIEWS IN POROUS MEDIA","A2",2022,"2151-4798"
"24370","SPECIAL TOPICS AND REVIEWS IN POROUS MEDIA","A2",2022,"
2151-562X"
"24371","FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY","A2",2022,"2151-8378"
"24372","FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY","A2",2022,"
2154-4212"
"24373","FRONTIERS IN HEAT AND MASS TRANSFER","A2",2022,"2151-8629"
"24374","JOURNAL OF SPORT PSYCHOLOGY IN ACTION","A2",2022,"2152-0704"
"24375","JOURNAL OF SPORT PSYCHOLOGY IN ACTION","A2",2022,"
2152-0712"
"24376","CLINICAL LYMPHOMA MYELOMA LEUKEMIA","A2",2022,"2152-2650"
"24377","CLINICAL LYMPHOMA MYELOMA LEUKEMIA","A2",2022,"
2152-2669"
"24378","INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION","A2",2022,"2152-5080"
"24379","INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION","A2",2022,"
2152-5099"
"24380","DIALOGUE AND DISCOURSE","A2",2022,"2152-9620"
"24381","DYNAMIC GAMES AND APPLICATIONS","A2",2022,"2153-0785"
"24382","DYNAMIC GAMES AND APPLICATIONS","A2",2022,"
2153-0793"
"24383","INTERNATIONAL JOURNAL OF PROGNOSTICS AND HEALTH MANAGEMENT","A2",2022,"2153-2648"
"24384","JOURNAL OF DIGITAL LEARNING IN TEACHER EDUCATION","A2",2022,"2153-2974"
"24385","JOURNAL OF DIGITAL LEARNING IN TEACHER EDUCATION","A2",2022,"
2332-7383"
"24386","JOURNAL OF ARABIAN STUDIES","A2",2022,"2153-4780"
"24387","JOURNAL OF HAZARDOUS TOXIC AND RADIOACTIVE WASTE","A2",2022,"2153-5493"
"24388","JOURNAL OF HAZARDOUS TOXIC AND RADIOACTIVE WASTE","A2",2022,"
2153-5515"
"24389","RELIGION BRAIN AND BEHAVIOR","A2",2022,"2153-5981"
"24390","RELIGION BRAIN AND BEHAVIOR","A2",2022,"
2153-599X"
"24391","EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES","A2",2022,"2154-1647"
"24392","NONPROFIT POLICY FORUM","A2",2022,"2154-3348"
"24393","POLAR JOURNAL","A2",2022,"2154-896X"
"24394","POLAR JOURNAL","A2",2022,"
2154-8978"
"24395","HUMAN WILDLIFE INTERACTIONS","A2",2022,"2155-3858"
"24396","HUMAN WILDLIFE INTERACTIONS","A2",2022,"
2155-3874"
"24397","JOURNAL OF APPLIED RESEARCH ON CHILDREN","A2",2022,"2155-5834"
"24398","INTERNATIONAL JOURNAL OF COMPUTER ASSISTED LANGUAGE LEARNING
AND TEACHING","A2",2022,"2155-7098"
"24399","INTERNATIONAL JOURNAL OF COMPUTER ASSISTED LANGUAGE LEARNING
AND TEACHING","A2",2022,"
2155-7101"
"24400","INTERNATIONAL JOURNAL OF FUZZY SYSTEM APPLICATIONS","A2",2022,"2156-1761"
"24401","INTERNATIONAL JOURNAL OF FUZZY SYSTEM APPLICATIONS","A2",2022,"
2156-177X"
"24402","IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING
TECHNOLOGY","A2",2022,"2156-3950"
"24403","IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING
TECHNOLOGY","A2",2022,"
2156-3985"
"24404","JOURNAL OF ADOLESCENT AND YOUNG ADULT ONCOLOGY","A2",2022,"2156-5333"
"24405","JOURNAL OF ADOLESCENT AND YOUNG ADULT ONCOLOGY","A2",2022,"
2156-535X"
"24406","RESEARCH IN LEARNING TECHNOLOGY","A2",2022,"2156-7069"
"24407","RESEARCH IN LEARNING TECHNOLOGY","A2",2022,"
2156-7077"
"24408","EUROPEAN JOURNAL OF HIGHER EDUCATION","A2",2022,"2156-8235"
"24409","EUROPEAN JOURNAL OF HIGHER EDUCATION","A2",2022,"
2156-8243"
"24410","MATHEMATICAL CONTROL AND RELATED FIELDS","A2",2022,"2156-8472"
"24411","MATHEMATICAL CONTROL AND RELATED FIELDS","A2",2022,"
2156-8499"
"24412","JOURNAL OF APPLIED ANALYSIS AND COMPUTATION","A2",2022,"2156-907X"
"24413","JOURNAL OF APPLIED ANALYSIS AND COMPUTATION","A2",2022,"
2158-5644"
"24414","INTERNATIONAL PERSPECTIVES IN PSYCHOLOGY RESEARCH PRACTICE
CONSULTATION","A2",2022,"2157-3883"
"24415","INTERNATIONAL PERSPECTIVES IN PSYCHOLOGY RESEARCH PRACTICE
CONSULTATION","A2",2022,"
2157-3891"
"24416","INTERNATIONAL JOURNAL OF LANGUAGE STUDIES","A2",2022,"2157-4898"
"24417","INTERNATIONAL JOURNAL OF LANGUAGE STUDIES","A2",2022,"
2157-4901"
"24418","ENTREPRENEURSHIP RESEARCH JOURNAL","A2",2022,"2157-5665"
"24419","ENTREPRENEURSHIP RESEARCH JOURNAL","A2",2022,"
2194-6175"
"24420","BRAIN AND BEHAVIOR","A2",2022,"2157-9032"
"24421","BRAIN AND BEHAVIOR","A2",2022,"
2162-3279"
"24422","BRAIN CONNECTIVITY","A2",2022,"2158-0014"
"24423","BRAIN CONNECTIVITY","A2",2022,"
2158-0022"
"24424","FOREST SCIENCE AND TECHNOLOGY","A2",2022,"2158-0103"
"24425","FOREST SCIENCE AND TECHNOLOGY","A2",2022,"
2158-0715"
"24426","SAGE OPEN","A2",2022,"2158-2440"
"24427","JOURNAL OF COMPUTATIONAL DYNAMICS","A2",2022,"2158-2505"
"24428","AIP ADVANCES","A2",2022,"2158-3226"
"24429","JOURNAL OF POLITICAL POWER","A2",2022,"2158-379X"
"24430","JOURNAL OF POLITICAL POWER","A2",2022,"
2158-3803"
"24431","JOURNAL OF INFORMATION POLICY","A2",2022,"2158-3897"
"24432","JOURNAL OF INFORMATION POLICY","A2",2022,"
2381-5892"
"24433","INNOVATIONS IN CLINICAL NEUROSCIENCE","A2",2022,"2158-8333"
"24434","INNOVATIONS IN CLINICAL NEUROSCIENCE","A2",2022,"
2158-8341"
"24435","JOURNAL OF HUMANISTIC COUNSELING","A2",2022,"2159-0311"
"24436","JOURNAL OF HUMANISTIC COUNSELING","A2",2022,"
2161-1939"
"24437","ISRAEL STUDIES REVIEW","A2",2022,"2159-0370"
"24438","ISRAEL STUDIES REVIEW","A2",2022,"
2159-0389"
"24439","JOURNAL OF RELIGION AND VIOLENCE","A2",2022,"2159-6808"
"24440","MRS COMMUNICATIONS","A2",2022,"2159-6859"
"24441","MRS COMMUNICATIONS","A2",2022,"
2159-6867"
"24442","JBJS ESSENTIAL SURGICAL TECHNIQUES","A2",2022,"2160-2204"
"24443","CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT","A2",2022,"2160-763X"
"24444","CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT","A2",2022,"
2160-7648"
"24445","INTERNATIONAL JOURNAL OF E PLANNING RESEARCH","A2",2022,"2160-9918"
"24446","INTERNATIONAL JOURNAL OF E PLANNING RESEARCH","A2",2022,"
2160-9926"
"24447","TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES","A2",2022,"2161-3915"
"24448","TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES","A2",2022,"
2161-5748"
"24449","TOPICS IN ANTIVIRAL MEDICINE","A2",2022,"2161-5853"
"24450","TOPICS IN ANTIVIRAL MEDICINE","A2",2022,"
2161-5861"
"24451","PSYCHODYNAMIC PSYCHIATRY","A2",2022,"2162-2590"
"24452","PSYCHODYNAMIC PSYCHIATRY","A2",2022,"
2162-2604"
"24453","JOURNAL OF INTERNATIONAL STUDENTS","A2",2022,"2162-3104"
"24454","JOURNAL OF INTERNATIONAL STUDENTS","A2",2022,"
2166-3750"
"24455","ADIPOCYTE","A2",2022,"2162-3945"
"24456","ADIPOCYTE","A2",2022,"
2162-397X"
"24457","ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY","A2",2022,"2162-8769"
"24458","ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY","A2",2022,"
2162-8777"
"24459","EVOLUTION EQUATIONS AND CONTROL THEORY","A2",2022,"2163-2472"
"24460","EVOLUTION EQUATIONS AND CONTROL THEORY","A2",2022,"
2163-2480"
"24461","SPORTS COACHING REVIEW","A2",2022,"2164-0629"
"24462","SPORTS COACHING REVIEW","A2",2022,"
2164-0637"
"24463","SERVICE SCIENCE","A2",2022,"2164-3962"
"24464","SERVICE SCIENCE","A2",2022,"
2164-3970"
"24465","PEACEBUILDING","A2",2022,"2164-7259"
"24466","PEACEBUILDING","A2",2022,"
2164-7267"
"24467","AB IMPERIO","A2",2022,"2164-9731"
"24468","AB IMPERIO","A2",2022,"
2166-4072"
"24469","REGION REGIONAL STUDIES OF RUSSIA EASTERN EUROPE AND CENTRAL ASIA","A2",2022,"2165-0659"
"24470","REGION REGIONAL STUDIES OF RUSSIA EASTERN EUROPE AND CENTRAL ASIA","A2",2022,"
2166-4307"
"24471","WORKPLACE HEALTH SAFETY","A2",2022,"2165-0799"
"24472","WORKPLACE HEALTH SAFETY","A2",2022,"
2165-0969"
"24473","SCHOOL LIBRARY RESEARCH","A2",2022,"2165-1019"
"24474","STABILITY","A2",2022,"2165-2627"
"24475","ADVANCES IN CIVIL ENGINEERING MATERIALS","A2",2022,"2165-3984"
"24476","ADVANCES IN CIVIL ENGINEERING MATERIALS","A2",2022,"
2379-1357"
"24477","JOURNAL OF AFRICANA RELIGIONS","A2",2022,"2165-5405"
"24478","JOURNAL OF AFRICANA RELIGIONS","A2",2022,"
2165-5413"
"24479","BIOENGINEERED","A2",2022,"2165-5979"
"24480","BIOENGINEERED","A2",2022,"
2165-5987"
"24481","JOURNAL OF MICRO AND NANO MANUFACTURING","A2",2022,"2166-0468"
"24482","JOURNAL OF MICRO AND NANO MANUFACTURING","A2",2022,"
2166-0476"
"24483","JOURNAL OF VACUUM SCIENCE TECHNOLOGY B","A2",2022,"2166-2746"
"24484","JOURNAL OF VACUUM SCIENCE TECHNOLOGY B","A2",2022,"
2166-2754"
"24485","JOURNAL OF EASTERN MEDITERRANEAN ARCHAEOLOGY AND HERITAGE
STUDIES","A2",2022,"2166-3548"
"24486","JOURNAL OF EASTERN MEDITERRANEAN ARCHAEOLOGY AND HERITAGE
STUDIES","A2",2022,"
2166-3556"
"24487","DEVELOPMENT STUDIES RESEARCH","A2",2022,"2166-5095"
"24488","TEACHING AND LEARNING INQUIRY","A2",2022,"2167-4787"
"24489","EMERGING ADULTHOOD","A2",2022,"2167-6968"
"24490","EMERGING ADULTHOOD","A2",2022,"
2167-6984"
"24491","ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION","A2",2022,"2167-8375"
"24492","ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION","A2",2022,"
2167-8383"
"24493","BARIATRIC SURGICAL PRACTICE AND PATIENT CARE","A2",2022,"2168-023X"
"24494","BARIATRIC SURGICAL PRACTICE AND PATIENT CARE","A2",2022,"
2168-0248"
"24495","NEW SPACE","A2",2022,"2168-0256"
"24496","NEW SPACE","A2",2022,"
2168-0264"
"24497","APPLICATIONS IN PLANT SCIENCES","A2",2022,"2168-0450"
"24498","CAMBRIDGE JOURNAL OF MATHEMATICS","A2",2022,"2168-0930"
"24499","CAMBRIDGE JOURNAL OF MATHEMATICS","A2",2022,"
2168-0949"
"24500","JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING","A2",2022,"2168-1015"
"24501","JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING","A2",2022,"
2168-1023"
"24502","COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING
IMAGING AND VISUALIZATION","A2",2022,"2168-1163"
"24503","COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING
IMAGING AND VISUALIZATION","A2",2022,"
2168-1171"
"24504","SCANDINAVIAN JOURNAL OF UROLOGY","A2",2022,"2168-1805"
"24505","SCANDINAVIAN JOURNAL OF UROLOGY","A2",2022,"
2168-1813"
