grupo,categoria,Titulo,Fecha_inicio,Fecha_Fin,Descripcion
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Gestion y organizacion de cooperativas con enfacis en emprendimiento sostenible,Marzo 2018,Marzo 2018,"tiene como objetivo proponer el modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamerica. Caso: Universidad Católica Luis Amigó, la principal característica es la innovación económica y social como pilar fundamental para su desarrollo, es visto como una alternativa para lograr cambiar las condiciones de vida de las personas aportando significativamente beneficios colectivos, incorporando la articulación entre el Estado, instituciones educativas y empresas públicas y privadas como mecanismo estimulante, de tal modo lograr transformar la sociedad."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Semillero de gestión de procesos administrativos (GEPA),Febrero 2018,Noviembre 2020,"La misión del semillero consiste en desarrollar investigaciones aplicadas en la mejora de procesos en las diferentes microempresas de la región del Valle de Aburrá y Oriente cercano del departamento de Antioquia, generando alianzas y transferencia de conocimiento entre las partes interesadas (Universidad-Empresa-Estudiantes). Abordar temas sociales y académicos de interés."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Creatividad e Innovación,Febrero 2018,,"Identificar y desarrollar habilidades emprendedoras con los estudiantes, desde la creatividad y la innovación, reconociendo el aporte que dichas habilidades hacen a sus proyectos de vida.,,Acompañar a los estudiantes en la definición de ideas creativas contextualizadas en la realidad y en las proyecciones socio económicas."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,"Estrategia pedagógica para el fomento a la ciencia, la tecnología y la innovación (CTI)",Agosto 2017,Noviembre 2017,"Acompañamiento para la conformación del comité de convivencia de la organización, en donde sus integrantes se formaron como facilitadores de convivencia o como gestores de la seguridad y la salud en el trabajo."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Feria Sabatina Mentalidad Empresarial,Abril 2017,Abril 2017,
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Conformación del comité de convivencia,Febrero 2017,Noviembre 2017,"Creación del cómite de convivencia con el fin de mejorar el clima organizacional, la seguridad en el trabajo y la convivencia en la organización."
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica Revisión del expediente T ¿ 7.831.776,Agosto 2020,Septiembre 2020,"De la Clínica Jurídica revisión del expediente T ¿ 7.831.776 resultó un Amicus Curiae, radicado ante la Honorable Corte Constitucional de la República de Colombia el 15 de septiembre de 2020"
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica revisión del expediente T 7.831.776,Agosto 2020,Septiembre 2020,"Amicus Curiae en la revisión del expediente T 7.831.776, correspondiente a la acción de tutela interpuesta por la señora JOSEFI"
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica Decreto 1500 de 2018,Junio 2020,,"La Clínica Jurídica Decreto 1500 de 2018 está integrada por docentes y estudiantes de la Facultad de Derecho y Ciencias Políticas de la Universidad Católica Luis Amigó, y por docentes, estudiantes y egresados de la Facultad de Derecho de la Universidad Autónoma Latinoamericana. A través de la aplicación del método clínico, elaboró una coadyuvancia a favor del Decreto 1500 de 2018, demandado a través del medio de control de nulidad simple en el Honorable Consejo de Estado. Resultado del proyecto de investigación Acceso a la justicia para la protección de derechos colectivos y del ambiente, el acceso a la información y la participación democrática: Fase I Medellín - Acciones Populares."
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Enseñanza y aprendizaje clínico del derecho (EACD) Fundamentación de un enfoque pedagógico que permita el reconocimiento y la creación de las Clínicas Jurídicas como estrategias pedagógicas para el fomento de la CTeI en la Universidad Católica Luis Amigó,Marzo 2020,,"La ENSEÑANZA Y APRENDIZAJE CLÍNICO DEL DERECHO (EACD) Fundamentación de un enfoque pedagógico que permita el reconocimiento y la creación de las Clínicas Jurídicas (CJ) como estrategias pedagógicas para el fomento de la CTeI en la Facultad de Derecho y Ciencias Políticas de la Universidad Católica Luis Amigó (Funlam): Clínica Jurídica de Interés Público Funlam, es un resultado del proyecto de investigación ¿Acceso a la justicia para la protección de derechos colectivos y del ambiente, el acceso a la información y la participación democrática¿, y con él, de la primera fase ¿Medellín, Acciones Populares¿, de autoría del profesor Jorge Eduardo Vásquez Santamaría, el cual fue aprobado en convocatoria institucional y empezó ejecución el pasado 3 de febrero de 2020."
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Grupo Estudio Género y Derecho de Familias,Febrero 2020,Noviembre 2020,"Grupo de Estudio Género y Derecho de Familias, es una estrategia implementada por el Proyecto Debates Contemporáneos del Derecho de Familia desde la Perspectiva de Género, que tiene por objetivo darle continuidad a la temática y a las discusiones que surgen respecto a las problemáticas que aquejan la familia, evidenciando como en el derecho y en la familia se presentan tensiones sexo-genéricas que discriminan, violentan y limitan el derecho a una vida libre de violencias. O se asignan derechos y garantías a familias que se corresponden con los roles sexo-genéricos asignados culturalmente."
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación adicTIcos,Febrero 2019,Diciembre 2020,"Semillero de investigación para la generación de investigación formativa en Adicciones No Químicas, que representen la realidad de las nuevas generaciones y que contribuya al aprendizaje y conocimiento de las nuevas tendencias y cómo afrontarlas."
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Escuela de Semilleros Nodo Eje Cafetero,Febrero 2019,,"El	Nodo	Eje	Cafetero	de	Inves@gación	Jurídica	y	Socio	Jurídica	en	el	marco	de	sus	procesos	de	inves1gación	y	el	compromiso	que	guarda	con	la	formación	y	promoción	de	la	inves1gación	Jurídica	y	Socio	Jurídica	en	la	región,	se	ha	propuesto	en	desarrollar	la	¿Escuela	de	Semilleros	de	Inves3gación¿	orientada	a	formar	y	fortalecer	las	competencias	inves1ga1vas	de	los	estudiantes	de	las	ins1tuciones	pertenecientes	al	Nodo	Eje	Cafetero	de	Inves1gación	Jurídica	y	Socio	Jurídica.	,La	Escuela	de	Semilleros	de	Inves3gación,	se	fundamenta	con	base	en	obje1vo	de	fortalecer	la	inves1gación	forma1va	por	medio	de	la	promoción,	formación	y	desarrollo	de	competencias	académicas,	é1cas,	inves1ga1vas,	cienEﬁcas	e	intelectuales	a	los	diferentes	grupos	de	estudiantes	que	hagan	parte	de	los	procesos	inves1ga1vos	llevados	a	cabo	en	los	dis1ntos	Semilleros	de	Inves1gación	y	en	las	aulas	de	clase,	por	medio	de	los	Proyectos	de	Aula.	,Así	las	cosas,	se	hace	necesario	implementar	y	elaborar	nuevas	estrategias	pedagógicas	de	inves1gación	forma1va,	que	sean	consecuentes	con	los	ﬁnes	de	la	inves1gación	socio	jurídica	y	humanista,	que	logre	impacto	en	los	currículos	académicos,	que	proyecte	a	los	estudiantes	en	pro	de	la	inves1gación,	que	genere	y	fortalezca	los	escenarios	de	generación	de	nuevo	conocimiento	y	que	haga	frente	a	las	exigencias	que	demanda	Colciencias.	,En	conclusión,	que	logre	impactar	y	formar	a	los	futuros	profesionales	con	competencias	trascendentales	para	la	vida	laboral	y	para	el	desarrollo	social	y	humano,	en	suma,	formar	profesionales	que	estén	acordes	con	las	necesidades	fundamentales	de	la	sociedad,	conocimiento	que	se	cul1va	y	se	consigue,	a	través	de	la	inves1gación"
JURIDICAS Y SOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Acción política y políticas públicas,Febrero 2017,,"El Semillero Albatros tiene por misión estudiar, buscar y sugerir la aplicación de las lógicas, métodos y herramientas del Análisis de las Políticas Públicas al contexto local, regional y nacional, en aras de participar desde la Academia en el seguimiento, ejecución y evaluación de políticas públicas de importancia en el espacio socio-político cercano."
SISCO,Estrategias Pedagógicas para el fomento a la CTI,"Curso Estadística Descriptiva con Aplicaciones en Excel y SPSS, modalidad blended",Agosto 2017,,"Este es un curso de formación en competencias investigativas dirigido a estudiantes de pregrado, bajo la modalidad blended, que fue diseñado para promover y potenciar el uso de paquetes estadísticos para el análisis e interpretación de datos cuantitativos. La propuesta formativo puso su centro de atención en la interpretación de estadísticos descriptivos más que en el uso del software per se. Para ellos se emplearon diferentes recursos multimediales y estrategias de e-learning que permitieron el desarrollo de un proceso formativo en modalidad blended learning."
SISCO,Estrategias Pedagógicas para el fomento a la CTI,Diseño de un modelo instruccional y un ambiente virtual en la plataforma Moodle para el desarrollo de cursos de formación en investigación bajo la modalidad virtual,Enero 2015,,Es una estrategia de innovación didáctica y tecnopedagógica para favorecer el desarrollo de competencias investigativas en los estudiantes de pregrado a través de los cursos de formación en investigación que ofrece la institución en modalidad virtual.
